"Methodology: Only official VGHF Posts, not replies to bsky users, yes replies to self (threads), went into threads whenever Bsky made it obvious (bsky seems to bury the ends of threads after 10 posts), does not account for times when VGHF self-reposts, any Events are considered Projects, includes QRPs but not RPs (most impactful for Vintage Mag Subscription), Subject Hierarchy: Project>Call To Action>Others>Collection (Posts with Patreon links were not added to Patreon count, for example). If something is labeled ""from the X Papers"" it has its own Collection line unless it was part of the original Project's release window",,,,,
,,,,,
Type Of Post,Content,Posts,Reposts,Avg,Notes
VGHF News,VHS Capture,1,75,75,
VGHF News,Welcome New Followers,1,68,68,
VGHF News,2024 Recap,1,55,55,
VGHF News,2023 Recap,5,41,8,
VGHF News,2025 Recap,1,18,18,
VGHF News,CD-R Metadata,1,12,12,
Query,Einhander,2,60,30,
Query,Rebecca Sugar,1,51,51,
Query,Piglet's Big Game,1,48,48,
Query,Capcom v. Data East,1,48,48,
Query,The Logical Gamer,1,38,38,
Query,R U S T,3,22,7,
Query,Play magazine,1,12,12,
Query,Spanky's Quest,1,11,11,
Query,DBZ Budokai,1,9,9,
Query,Genesis Games Prices,1,8,8,
Query,Game Player's Magazine,2,5,3,
Project,Digital Library Launch,2,3297,1649,
Project,MLB Slugfest Video,4,2769,692,
Project,Sega Channel,4,1844,461,
Project,US Copyright Law Results,1,1418,1418,
Project,Computer Entertainer,4,1251,313,
Project,GamePro Press,12,797,66,
Project,Trade Magazine Week Social Media,58,632,11,
Project,Cyan Making Of Myst,2,600,300,
Project,Video Game History Hour,28,502,18,
Project,Digital Library Maintenance,5,273,55,
Project,Digital Archive Update,14,265,19,
Project,Game Informer,1,257,257,
Project,GDC 2025,6,233,39,
Project,Craig Stitt,2,224,112,
Project,William Volk,10,198,20,
Project,Taito ROM Dump,10,192,19,
Project,Andrew Nelson Papers,10,179,18,
Project,87Percent,3,144,48,
Project,PRGE Panel,2,134,67,
Project,Xcavator 2025,2,133,67,
Project,ROM Dump Stream,5,119,24,
Project,Mailbag Mountain,4,115,29,
Project,Official XBox Magazine,7,90,13,
Project,E3 Directories Complete,3,85,28,
Project,Frank GDC Talk,2,73,37,
Project,Game Player's Magazine,3,69,23,
Project,GDC Museum,1,65,65,
Project,MAGFest,3,65,22,
Project,Auction Stream,3,59,20,
Project,Maxi-Vision Redigitized,2,49,25,
Project,Game Conference History Report,1,46,46,
Project,PAX West 2025,4,42,11,
Project,Atari 50,1,41,41,
Project,Tetris Forever Launch,1,37,37,
Project,CBS Mornings,1,25,25,
Project,US Copyright Law,1,24,24,
Project,MCV,1,19,19,
Project,MAGFest 2026,1,15,15,
Project,Electronic Games Hotline,1,12,12,
Games News,Video Game Day - David Earle,2,74,37,
Games News,Xbox 360 Marketplace Shutdown,1,64,64,
Games News,Game Developer article,1,15,15,
Donation,CherokeeStarfish,1,12,12,
Collection,Mr. Bones,3,957,319,
Collection,Gex,7,479,68,
Collection,Quest 64,3,279,93,
Collection,High Quality Prints,12,260,22,
Collection,VGHF Tech,3,221,74,
Collection,Abrajam Lincoln,1,215,215,
Collection,Silent Hill Retailer Ad,1,178,178,
Collection,Konami Horoscope Line,1,133,133,
Collection,Playstation vs Saturn,2,131,66,
Collection,Rule of Rose,1,120,120,
Collection,Big Rigs,1,113,113,
Collection,Half-Life,1,111,111,
Collection,Godzilla Game Boy,1,101,101,
Collection,Superman 64,1,100,100,
Collection,Pokemon E3,1,99,99,
Collection,Midway Valentine's Burger,2,90,45,
Collection,ToeJam & Earl,3,81,27,
Collection,Myst Birthday,2,81,41,
Collection,Nude Smurf,1,78,78,
Collection,Dreamcast Zip Bubsy,2,75,38,
Collection,Banjo Kazooie Key Art,1,70,70,
Collection,Konami Fax,1,69,69,
Collection,Rogue,1,63,63,
Collection,SEGA Customer Service Video,1,63,63,
Collection,Panzer Dragoon,2,60,30,
Collection,Bubsy,1,60,60,
Collection,Silksong,2,59,30,
Collection,Konami Van Explodes,1,57,57,
Collection,Space Jam,1,55,55,
Collection,MGS Snake Ha Ha Get Stuffd,2,55,28,
Collection,Konami of America Rules,1,55,55,
Collection,Run Saber,1,53,53,
Collection,Dune 2000,1,53,53,
Collection,EB Games 2003 Brochure,2,53,27,
Collection,Muppet Treasure Island,1,52,52,
Collection,PSM Silent Hill 2,1,51,51,
Collection,E3 1998 Metal Gear Solid,1,48,48,
Collection,WizType,1,47,47,
Collection,Billy Hatcher,1,47,47,
Collection,Super Extendo,1,46,46,
Collection,Electronic Gaming Retail News SEGA,1,45,45,
Collection,Elbo,2,41,21,
Collection,Akira Anime,1,39,39,
Collection,Metal Max Saga,1,39,39,
Collection,Bill Budge's Pinball,1,39,39,
Collection,Game Player's 1989 Awards,7,39,6,
Collection,Blood Wake,1,38,38,
Collection,SEGA PC,1,37,37,
Collection,Thumbs,1,36,36,
Collection,Macho Man Monday,2,36,18,
Collection,Mr. Ice Guy,1,34,34,
Collection,LucasArts Press CD,1,34,34,
Collection,M4 Show Kojima,1,33,33,
Collection,Tips & Tricks Video,1,33,33,
Collection,EB Fall's Most Wanted,2,33,17,
Collection,Blitz 2002 Design Doc,1,33,33,
Collection,Putt Putt Goes To The Moon,1,33,33,
Collection,Can't Always Blame The Internet,1,32,32,
Collection,80s Mario licensor art,1,31,31,
Collection,E3 Party Invite,1,30,30,
Collection,Unknown Bald Mortal Kombat Character (Lost Character),1,30,30,
Collection,Wing Commander IV,1,30,30,
Collection,EB Games 1991 Brochure,1,30,30,
Collection,Eye Of The Beholder,1,29,29,
Collection,EB Games 1993 Brochure,2,29,15,
Collection,Game Boy Color Sales,1,28,28,
Collection,PSM Preview,1,26,26,
Collection,Guitar Hero,1,26,26,
Collection,Viva Pinata Cruelty,1,26,26,
Collection,Unreleased Segapede,1,26,26,
Collection,Fantastic Dizzy,1,26,26,
Collection,Dorimaga (Dreamcast),1,25,25,
Collection,Warhammer Shadow of the horned rat,1,24,24,
Collection,Golden Oldies Compilation,1,24,24,
Collection,Mario Awards,1,24,24,
Collection,Keke Palmer Imagine Town,1,23,23,
Collection,Simpsons Electronics Boutique,1,23,23,
Collection,Sonic Pre-release Tease,1,23,23,
Collection,Feet,1,22,22,
Collection,Goth SNES,1,22,22,
Collection,Monkey Island Ad,1,22,22,
Collection,E3 Event Guide,1,21,21,
Collection,EB Games 1997 Brochure,2,21,11,
Collection,Rollerball Lolo,1,20,20,
Collection,Silicon Magazine,1,20,20,
Collection,Into The 1st Degree,1,20,20,
Collection,First Decade Of Computer Games,2,20,10,
Collection,Sonic MilkCaps,1,19,19,
Collection,Robert DeNiro's: 9,1,19,19,
Collection,Sonic X Figure Ad,1,19,19,
Collection,Acclaim Simpsons Sales,1,19,19,
Collection,Rise of the Triad,1,18,18,
Collection,Teddie E3 2014,1,18,18,
Collection,none more '90s,1,18,18,
Collection,Comics & Games,1,18,18,
Collection,Mindscape Idea Theft,1,18,18,
Collection,Bomberman Party Pak,1,17,17,
Collection,11th Hour,1,16,16,
Collection,Star Trek fourth be with you,2,16,8,
Collection,Ren & Stimpy Connect The Dots,1,16,16,
Collection,US Game Market Share,1,16,16,
